
# vx values
0 2.57903e+08
1 1.99586e+09
2 4.37266e+09
3 5.2516e+09
4 5.52666e+09
5 5.48162e+09
6 5.25869e+09
7 4.94248e+09
8 4.58559e+09
9 4.2198e+09
10 3.863e+09
11 3.52402e+09
12 3.20605e+09
13 2.90902e+09
14 2.6312e+09
15 2.37009e+09
16 2.12301e+09
17 1.88737e+09
18 1.66085e+09
19 1.44135e+09
20 1.22703e+09
21 1.01623e+09
22 8.07459e+08
23 5.99346e+08
24 3.90564e+08
25 1.79802e+08
26 -3.34473e+07
27 -2.47492e+08
28 -4.59771e+08
29 -6.69133e+08
30 -8.75909e+08
31 -1.08138e+09
32 -1.28747e+09
33 -1.49656e+09
34 -1.71144e+09
35 -1.9353e+09
36 -2.17179e+09
37 -2.42518e+09
38 -2.70052e+09
39 -3.00372e+09
40 -3.34152e+09
41 -3.72093e+09
42 -4.14781e+09
43 -4.62407e+09
44 -5.14311e+09
45 -5.68376e+09
46 -6.20449e+09
47 -6.64086e+09
48 -6.90858e+09
49 -6.90694e+09
50 -6.54568e+09
51 -5.81922e+09
52 -4.81413e+09
53 -3.6461e+09
54 -2.43415e+09
55 -1.28323e+09
56 -2.53058e+08
57 6.59879e+08
58 1.49739e+09
59 2.2838e+09
60 3.02005e+09
61 3.7117e+09
62 4.37819e+09
63 5.07439e+09
64 4.35554e+09
65 3.27108e+09

# vy values
0 2.57903e+08
1 -5.15805e+08
2 -7.98343e+09
3 -1.80064e+10
4 -2.89898e+10
5 -4.01131e+10
6 -5.09163e+10
7 -6.11479e+10
8 -7.06862e+10
9 -7.94902e+10
10 -8.75654e+10
11 -9.49422e+10
12 -1.01662e+11
13 -1.07766e+11
14 -1.13298e+11
15 -1.18291e+11
16 -1.22778e+11
17 -1.26783e+11
18 -1.30327e+11
19 -1.33427e+11
20 -1.36093e+11
21 -1.38335e+11
22 -1.40158e+11
23 -1.41565e+11
24 -1.42555e+11
25 -1.43127e+11
26 -1.43274e+11
27 -1.42993e+11
28 -1.42284e+11
29 -1.41154e+11
30 -1.39608e+11
31 -1.3765e+11
32 -1.35282e+11
33 -1.325e+11
34 -1.29296e+11
35 -1.25655e+11
36 -1.21555e+11
37 -1.16968e+11
38 -1.11854e+11
39 -1.06165e+11
40 -9.98393e+10
41 -9.27994e+10
42 -8.49556e+10
43 -7.62081e+10
44 -6.64593e+10
45 -5.56357e+10
46 -4.37242e+10
47 -3.08177e+10
48 -1.71608e+10
49 -3.18342e+09
50 1.0467e+10
51 2.29993e+10
52 3.37439e+10
53 4.22558e+10
54 4.83283e+10
55 5.19924e+10
56 5.34612e+10
57 5.30047e+10
58 5.08217e+10
59 4.70151e+10
60 4.16865e+10
61 3.49349e+10
62 2.68397e+10
63 1.74221e+10
64 6.54216e+09
65 -3.27108e+09
