
# vx values
0 8.38271e+09
1 9.17499e+09
2 8.21561e+09
3 5.30086e+09
4 3.25848e+09
5 1.68235e+09
6 4.37828e+08
7 -6.66256e+08
8 -1.71369e+09
9 -2.64614e+09
10 -3.49857e+09
11 -4.30417e+09
12 -5.08363e+09
13 -5.84135e+09
14 -6.55553e+09
15 -7.16262e+09
16 -7.59836e+09
17 -7.84937e+09
18 -7.91156e+09
19 -7.76083e+09
20 -7.37592e+09
21 -6.74881e+09
22 -5.88415e+09
23 -4.78722e+09
24 -3.44533e+09
25 -1.81309e+09
26 1.64447e+08
27 2.47183e+09
28 5.0011e+09
29 7.53826e+09
30 9.77126e+09
31 1.13914e+10
32 1.22359e+10
33 1.23325e+10
34 1.17632e+10
35 1.07036e+10
36 9.41458e+09
37 8.08744e+09
38 6.83553e+09
39 5.71655e+09
40 4.74914e+09
41 3.92829e+09
42 3.23621e+09
43 2.64933e+09
44 2.14257e+09
45 1.692e+09
46 1.27616e+09
47 8.76617e+08
48 4.7794e+08
49 6.9639e+07
50 -3.48873e+08
51 -7.71141e+08
52 -1.19444e+09
53 -1.62395e+09
54 -2.07092e+09
55 -2.551e+09
56 -3.08291e+09
57 -3.68734e+09
58 -4.3857e+09
59 -5.19815e+09
60 -6.14007e+09
61 -7.21775e+09
62 -8.42999e+09
63 -9.80754e+09
64 -8.45177e+09
65 -6.35782e+09

# vy values
0 8.38271e+09
1 -1.67654e+10
2 -3.67e+10
3 -4.96279e+10
4 -5.79034e+10
5 -6.26618e+10
6 -6.46328e+10
7 -6.44131e+10
8 -6.19678e+10
9 -5.75583e+10
10 -5.13833e+10
11 -4.3564e+10
12 -3.41666e+10
13 -2.32295e+10
14 -1.08012e+10
15 2.99258e+09
16 1.78493e+10
17 3.3386e+10
18 4.92468e+10
19 6.50323e+10
20 8.02901e+10
21 9.45359e+10
22 1.07285e+11
23 1.18073e+11
24 1.26434e+11
25 1.31854e+11
26 1.33687e+11
27 1.31196e+11
28 1.23799e+11
29 1.11192e+11
30 9.36462e+10
31 7.21066e+10
32 4.80806e+10
33 2.31628e+10
34 -1.24935e+09
35 -2.38902e+10
36 -4.40637e+10
37 -6.15485e+10
38 -7.64135e+10
39 -8.88906e+10
40 -9.92797e+10
41 -1.07887e+11
42 -1.14993e+11
43 -1.20832e+11
44 -1.2559e+11
45 -1.29402e+11
46 -1.32358e+11
47 -1.34507e+11
48 -1.35865e+11
49 -1.36419e+11
50 -1.36143e+11
51 -1.35023e+11
52 -1.33059e+11
53 -1.30245e+11
54 -1.26563e+11
55 -1.21962e+11
56 -1.16359e+11
57 -1.0963e+11
58 -1.01609e+11
59 -9.20873e+10
60 -8.08168e+10
61 -6.7527e+10
62 -5.19458e+10
63 -3.38071e+10
64 -1.27156e+10
65 6.35782e+09
