
# vx values
0 9.04827e+08
1 2.41043e+09
2 4.2739e+09
3 4.71937e+09
4 4.76882e+09
5 4.63094e+09
6 4.40328e+09
7 4.13709e+09
8 3.85956e+09
9 3.5842e+09
10 3.3169e+09
11 3.05962e+09
12 2.81252e+09
13 2.57509e+09
14 2.34659e+09
15 2.12614e+09
16 1.91274e+09
17 1.70519e+09
18 1.50216e+09
19 1.30217e+09
20 1.10363e+09
21 9.04946e+08
22 7.04579e+08
23 5.0119e+08
24 2.93673e+08
25 8.12807e+07
26 -1.35249e+08
27 -3.53625e+08
28 -5.71954e+08
29 -7.89705e+08
30 -1.00752e+09
31 -1.22696e+09
32 -1.4504e+09
33 -1.6811e+09
34 -1.92359e+09
35 -2.18438e+09
36 -2.47294e+09
37 -2.80234e+09
38 -3.18837e+09
39 -3.64476e+09
40 -4.17168e+09
41 -4.73666e+09
42 -5.25465e+09
43 -5.58627e+09
44 -5.57966e+09
45 -5.1558e+09
46 -4.38115e+09
47 -3.45318e+09
48 -2.59212e+09
49 -1.91062e+09
50 -1.41133e+09
51 -1.05586e+09
52 -7.88755e+08
53 -5.61012e+08
54 -3.41743e+08
55 -1.14834e+08
56 1.26943e+08
57 3.80441e+08
58 6.31252e+08
59 8.61404e+08
60 1.05086e+09
61 1.17319e+09
62 1.19178e+09
63 1.04761e+09
64 5.19522e+08
65 1.1364e+08

# vy values
0 9.04827e+08
1 -1.80965e+09
2 -9.64171e+09
3 -1.89053e+10
4 -2.85192e+10
5 -3.79805e+10
6 -4.7043e+10
7 -5.55936e+10
8 -6.35913e+10
9 -7.10319e+10
10 -7.79281e+10
11 -8.42995e+10
12 -9.01666e+10
13 -9.55495e+10
14 -1.00467e+11
15 -1.04936e+11
16 -1.08972e+11
17 -1.12587e+11
18 -1.15792e+11
19 -1.18595e+11
20 -1.21001e+11
21 -1.2301e+11
22 -1.24621e+11
23 -1.25828e+11
24 -1.26625e+11
25 -1.27003e+11
26 -1.26951e+11
27 -1.26462e+11
28 -1.25536e+11
29 -1.24174e+11
30 -1.22377e+11
31 -1.20144e+11
32 -1.17469e+11
33 -1.14343e+11
34 -1.10745e+11
35 -1.06648e+11
36 -1.02008e+11
37 -9.67564e+10
38 -9.07982e+10
39 -8.40029e+10
40 -7.62191e+10
41 -6.73162e+10
42 -5.72725e+10
43 -4.62976e+10
44 -3.49274e+10
45 -2.39789e+10
46 -1.43042e+10
47 -6.45435e+09
48 -4.91475e+08
49 3.91411e+09
50 7.151e+09
51 9.55943e+09
52 1.13744e+10
53 1.27145e+10
54 1.36185e+10
55 1.40814e+10
56 1.40778e+10
57 1.35737e+10
58 1.25561e+10
59 1.10486e+10
60 9.11045e+09
61 6.84522e+09
62 4.41771e+09
63 2.07809e+09
64 2.2728e+08
65 -1.1364e+08
