
# vx values
0 1.41946e+09
1 3.62182e+09
2 6.29934e+09
3 6.84256e+09
4 6.7911e+09
5 6.46654e+09
6 6.02431e+09
7 5.5458e+09
8 5.07281e+09
9 4.62486e+09
10 4.20932e+09
11 3.82725e+09
12 3.47676e+09
13 3.15471e+09
14 2.8576e+09
15 2.58192e+09
16 2.32424e+09
17 2.08132e+09
18 1.85008e+09
19 1.62764e+09
20 1.41133e+09
21 1.19869e+09
22 9.87553e+08
23 7.76011e+08
24 5.62513e+08
25 3.45854e+08
26 1.25422e+08
27 -9.71614e+07
28 -3.18331e+08
29 -5.35674e+08
30 -7.48987e+08
31 -9.59545e+08
32 -1.16945e+09
33 -1.38128e+09
34 -1.59793e+09
35 -1.82284e+09
36 -2.06035e+09
37 -2.31648e+09
38 -2.60001e+09
39 -2.92337e+09
40 -3.30302e+09
41 -3.75754e+09
42 -4.30177e+09
43 -4.93514e+09
44 -5.62519e+09
45 -6.29362e+09
46 -6.81971e+09
47 -7.07369e+09
48 -6.97187e+09
49 -6.51735e+09
50 -5.79398e+09
51 -4.92101e+09
52 -4.00203e+09
53 -3.09975e+09
54 -2.26121e+09
55 -1.51201e+09
56 -8.41421e+08
57 -2.29087e+08
58 3.48993e+08
59 9.0188e+08
60 1.41198e+09
61 1.85061e+09
62 2.1816e+09
63 2.36025e+09
64 1.77059e+09
65 1.13567e+09

# vy values
0 1.41946e+09
1 -2.83893e+09
2 -1.44873e+10
3 -2.80363e+10
4 -4.18575e+10
5 -5.52007e+10
6 -6.77237e+10
7 -7.92979e+10
8 -8.99069e+10
9 -9.95892e+10
10 -1.08406e+11
11 -1.16426e+11
12 -1.23715e+11
13 -1.30333e+11
14 -1.36334e+11
15 -1.41764e+11
16 -1.46662e+11
17 -1.51061e+11
18 -1.54987e+11
19 -1.58461e+11
20 -1.61498e+11
21 -1.64106e+11
22 -1.66292e+11
23 -1.68057e+11
24 -1.69397e+11
25 -1.70307e+11
26 -1.7078e+11
27 -1.70808e+11
28 -1.70391e+11
29 -1.69535e+11
30 -1.68249e+11
31 -1.66539e+11
32 -1.6441e+11
33 -1.61861e+11
34 -1.58885e+11
35 -1.5547e+11
36 -1.51594e+11
37 -1.47228e+11
38 -1.42328e+11
39 -1.36828e+11
40 -1.30634e+11
41 -1.23616e+11
42 -1.15604e+11
43 -1.06409e+11
44 -9.58638e+10
45 -8.39082e+10
46 -7.06893e+10
47 -5.66294e+10
48 -4.23946e+10
49 -2.87419e+10
50 -1.63252e+10
51 -5.56601e+09
52 3.35886e+09
53 1.04421e+10
54 1.57579e+10
55 1.9487e+10
56 2.18059e+10
57 2.28526e+10
58 2.27223e+10
59 2.14567e+10
60 1.91147e+10
61 1.58088e+10
62 1.17123e+10
63 7.08236e+09
64 2.27134e+09
65 -1.13567e+09
