
# vx values
0 -2.88839e+08
1 2.58752e+07
2 5.24312e+08
3 8.00144e+08
4 9.45528e+08
5 1.03135e+09
6 1.08293e+09
7 1.11073e+09
8 1.1195e+09
9 1.11166e+09
10 1.08868e+09
11 1.05163e+09
12 1.00145e+09
13 9.39039e+08
14 8.6532e+08
15 7.81218e+08
16 6.87664e+08
17 5.85561e+08
18 4.75716e+08
19 3.58462e+08
20 2.33352e+08
21 1.00034e+08
22 -4.11773e+07
23 -1.89916e+08
24 -3.46036e+08
25 -5.09428e+08
26 -6.80069e+08
27 -8.58453e+08
28 -1.0461e+09
29 -1.24583e+09
30 -1.46063e+09
31 -1.68899e+09
32 -1.91313e+09
33 -2.08069e+09
34 -2.09437e+09
35 -1.85203e+09
36 -1.36289e+09
37 -7.98702e+08
38 -3.20059e+08
39 1.88415e+07
40 2.24585e+08
41 3.43478e+08
42 4.17238e+08
43 4.68893e+08
44 5.07845e+08
45 5.37093e+08
46 5.57674e+08
47 5.71683e+08
48 5.82915e+08
49 5.91278e+08
50 5.94001e+08
51 5.89535e+08
52 5.7595e+08
53 5.5035e+08
54 5.09383e+08
55 4.49521e+08
56 3.66841e+08
57 2.57024e+08
58 1.14784e+08
59 -6.68576e+07
60 -2.99063e+08
61 -6.00429e+08
62 -1.00005e+09
63 -1.56542e+09
64 -1.76768e+09
65 -1.63331e+09

# vy values
0 -2.88839e+08
1 5.77677e+08
2 -1.03501e+08
3 -1.51957e+09
4 -3.30408e+09
5 -5.30169e+09
6 -7.42946e+09
7 -9.63341e+09
8 -1.18724e+10
9 -1.41114e+10
10 -1.6319e+10
11 -1.84661e+10
12 -2.05256e+10
13 -2.24719e+10
14 -2.42817e+10
15 -2.59332e+10
16 -2.74066e+10
17 -2.86839e+10
18 -2.97488e+10
19 -3.05867e+10
20 -3.11827e+10
21 -3.15201e+10
22 -3.15828e+10
23 -3.13554e+10
24 -3.08232e+10
25 -2.99713e+10
26 -2.87854e+10
27 -2.7251e+10
28 -2.53516e+10
29 -2.30666e+10
30 -2.03683e+10
31 -1.72241e+10
32 -1.36124e+10
33 -9.57157e+09
34 -5.28959e+09
35 -1.19411e+09
36 2.11854e+09
37 4.25745e+09
38 5.31334e+09
39 5.53769e+09
40 5.23798e+09
41 4.63935e+09
42 3.86407e+09
43 2.9704e+09
44 1.9885e+09
45 9.3902e+08
46 -1.59875e+08
47 -1.29167e+09
48 -2.44661e+09
49 -3.62333e+09
50 -4.81172e+09
51 -5.99934e+09
52 -7.16986e+09
53 -8.30314e+09
54 -9.37126e+09
55 -1.03407e+10
56 -1.11693e+10
57 -1.1808e+10
58 -1.21974e+10
59 -1.22672e+10
60 -1.193e+10
61 -1.10709e+10
62 -9.5283e+09
63 -7.07072e+09
64 -3.26662e+09
65 1.63331e+09
