
# vx values
0 -3.14203e+08
1 -4.69419e+08
2 -6.20188e+08
3 -6.08607e+08
4 -5.91644e+08
5 -5.69329e+08
6 -5.41784e+08
7 -5.09199e+08
8 -4.71823e+08
9 -4.29958e+08
10 -3.83955e+08
11 -3.34208e+08
12 -2.81149e+08
13 -2.25235e+08
14 -1.66944e+08
15 -1.06756e+08
16 -4.51371e+07
17 1.7484e+07
18 8.07045e+07
19 1.44098e+08
20 2.07166e+08
21 2.69328e+08
22 3.29941e+08
23 3.88316e+08
24 4.43749e+08
25 4.95541e+08
26 5.43023e+08
27 5.85576e+08
28 6.22653e+08
29 6.53789e+08
30 6.78619e+08
31 6.9689e+08
32 7.08487e+08
33 7.13269e+08
34 7.10982e+08
35 7.0143e+08
36 6.84554e+08
37 6.60425e+08
38 6.2924e+08
39 5.91305e+08
40 5.47018e+08
41 4.96863e+08
42 4.4139e+08
43 3.81207e+08
44 3.16968e+08
45 2.49365e+08
46 1.79114e+08
47 1.06946e+08
48 3.35951e+07
49 -4.02262e+07
50 -1.13827e+08
51 -1.86513e+08
52 -2.57582e+08
53 -3.26339e+08
54 -3.92103e+08
55 -4.54223e+08
56 -5.12083e+08
57 -5.65117e+08
58 -6.12815e+08
59 -6.54734e+08
60 -6.90514e+08
61 -7.19887e+08
62 -7.42698e+08
63 -7.58956e+08
64 -5.75856e+08
65 -3.86254e+08

# vy values
0 -3.14203e+08
1 6.28405e+08
2 1.87768e+09
3 3.10916e+09
4 4.3121e+09
5 5.47573e+09
6 6.58942e+09
7 7.64287e+09
8 8.62622e+09
9 9.53016e+09
10 1.0346e+10
11 1.1066e+10
12 1.16829e+10
13 1.21906e+10
14 1.25838e+10
15 1.28584e+10
16 1.30108e+10
17 1.30389e+10
18 1.29409e+10
19 1.27161e+10
20 1.23645e+10
21 1.18874e+10
22 1.12872e+10
23 1.05677e+10
24 9.73394e+09
25 8.79266e+09
26 7.75178e+09
27 6.62057e+09
28 5.40947e+09
29 4.12996e+09
30 2.79432e+09
31 1.41548e+09
32 6.75597e+06
33 -1.41847e+09
34 -2.84632e+09
35 -4.2624e+09
36 -5.65204e+09
37 -7.00061e+09
38 -8.29374e+09
39 -9.51757e+09
40 -1.0659e+10
41 -1.17056e+10
42 -1.26464e+10
43 -1.34712e+10
44 -1.41712e+10
45 -1.47391e+10
46 -1.51687e+10
47 -1.54555e+10
48 -1.55965e+10
49 -1.55899e+10
50 -1.54356e+10
51 -1.51346e+10
52 -1.46895e+10
53 -1.41043e+10
54 -1.33842e+10
55 -1.25359e+10
56 -1.15673e+10
57 -1.04875e+10
58 -9.30682e+09
59 -8.03628e+09
60 -6.68788e+09
61 -5.27422e+09
62 -3.80833e+09
63 -2.30343e+09
64 -7.72507e+08
65 3.86254e+08
