
# vx values
0 7.25208e+09
1 7.77863e+09
2 6.69865e+09
3 4.02997e+09
4 2.16463e+09
5 7.12535e+08
6 -4.67084e+08
7 -1.42868e+09
8 -2.22025e+09
9 -2.8914e+09
10 -3.47724e+09
11 -4.00505e+09
12 -4.49517e+09
13 -4.95535e+09
14 -5.37341e+09
15 -5.71786e+09
16 -5.97373e+09
17 -6.13896e+09
18 -6.1959e+09
19 -6.1209e+09
20 -5.88657e+09
21 -5.46033e+09
22 -4.80245e+09
23 -3.86567e+09
24 -2.60017e+09
25 -9.79659e+08
26 9.28448e+08
27 2.97125e+09
28 4.98272e+09
29 6.8042e+09
30 8.2978e+09
31 9.37173e+09
32 9.99475e+09
33 1.01656e+10
34 9.87225e+09
35 9.20385e+09
36 8.33354e+09
37 7.37718e+09
38 6.40989e+09
39 5.48417e+09
40 4.63329e+09
41 3.87332e+09
42 3.20624e+09
43 2.62379e+09
44 2.1116e+09
45 1.65256e+09
46 1.22935e+09
47 8.2575e+08
48 4.27222e+08
49 2.39424e+07
50 -3.84174e+08
51 -7.9132e+08
52 -1.1955e+09
53 -1.60136e+09
54 -2.01854e+09
55 -2.46049e+09
56 -2.94343e+09
57 -3.48531e+09
58 -4.10446e+09
59 -4.8177e+09
60 -5.63735e+09
61 -6.56806e+09
62 -7.60915e+09
63 -8.78945e+09
64 -7.53186e+09
65 -5.64191e+09

# vy values
0 7.25208e+09
1 -1.45042e+10
2 -3.11145e+10
3 -4.12988e+10
4 -4.72344e+10
5 -4.99573e+10
6 -5.00845e+10
7 -4.8089e+10
8 -4.43698e+10
9 -3.9208e+10
10 -3.28042e+10
11 -2.5299e+10
12 -1.6784e+10
13 -7.31833e+09
14 3.03738e+09
15 1.41753e+10
16 2.59088e+10
17 3.80702e+10
18 5.04646e+10
19 6.28538e+10
20 7.49483e+10
21 8.64001e+10
22 9.67896e+10
23 1.0561e+11
24 1.12252e+11
25 1.16011e+11
26 1.16171e+11
27 1.12297e+11
28 1.04286e+11
29 9.23659e+10
30 7.70691e+10
31 5.91747e+10
32 3.95821e+10
33 1.91956e+10
34 -1.08034e+09
35 -2.02934e+10
36 -3.78957e+10
37 -5.36275e+10
38 -6.74044e+10
39 -7.92671e+10
40 -8.93411e+10
41 -9.78002e+10
42 -1.04834e+11
43 -1.10625e+11
44 -1.1533e+11
45 -1.19072e+11
46 -1.2194e+11
47 -1.23989e+11
48 -1.25243e+11
49 -1.25698e+11
50 -1.25339e+11
51 -1.24161e+11
52 -1.22173e+11
53 -1.19379e+11
54 -1.15768e+11
55 -1.11305e+11
56 -1.05926e+11
57 -9.95313e+10
58 -9.19847e+10
59 -8.31134e+10
60 -7.27139e+10
61 -6.0564e+10
62 -4.64416e+10
63 -3.01274e+10
64 -1.12838e+10
65 5.64191e+09
