
# vx values
0 4.37246e+09
1 4.59211e+09
2 3.76367e+09
3 1.99654e+09
4 7.19273e+08
5 -2.85093e+08
6 -1.09559e+09
7 -1.76723e+09
8 -2.33853e+09
9 -2.82944e+09
10 -3.2444e+09
11 -3.57604e+09
12 -3.81107e+09
13 -3.94479e+09
14 -3.97838e+09
15 -3.90781e+09
16 -3.73003e+09
17 -3.44469e+09
18 -3.05417e+09
19 -2.56253e+09
20 -1.9743e+09
21 -1.29343e+09
22 -5.23252e+08
23 3.20288e+08
24 1.19656e+09
25 2.05659e+09
26 2.86165e+09
27 3.58607e+09
28 4.21356e+09
29 4.73092e+09
30 5.12648e+09
31 5.3975e+09
32 5.55694e+09
33 5.60138e+09
34 5.52103e+09
35 5.33132e+09
36 5.05507e+09
37 4.71499e+09
38 4.33176e+09
39 3.92312e+09
40 3.50356e+09
41 3.08414e+09
42 2.67261e+09
43 2.27362e+09
44 1.8891e+09
45 1.51861e+09
46 1.15984e+09
47 8.08798e+08
48 4.59808e+08
49 1.04897e+08
50 -2.64326e+08
51 -6.5107e+08
52 -1.05254e+09
53 -1.46536e+09
54 -1.88864e+09
55 -2.32353e+09
56 -2.77282e+09
57 -3.24157e+09
58 -3.73698e+09
59 -4.26661e+09
60 -4.83634e+09
61 -5.4503e+09
62 -6.11637e+09
63 -6.87725e+09
64 -5.79942e+09
65 -4.30831e+09

# vy values
0 4.37246e+09
1 -8.74491e+09
2 -1.83684e+10
3 -2.37996e+10
4 -2.63546e+10
5 -2.66767e+10
6 -2.52142e+10
7 -2.22943e+10
8 -1.81453e+10
9 -1.29402e+10
10 -6.82753e+09
11 3.73449e+07
12 7.47664e+09
13 1.52816e+10
14 2.32558e+10
15 3.11951e+10
16 3.88871e+10
17 4.61153e+10
18 5.26658e+10
19 5.83319e+10
20 6.2916e+10
21 6.62291e+10
22 6.80897e+10
23 6.83221e+10
24 6.68085e+10
25 6.35359e+10
26 5.85822e+10
27 5.20893e+10
28 4.42379e+10
29 3.5235e+10
30 2.53142e+10
31 1.47291e+10
32 3.72423e+09
33 -7.49864e+09
34 -1.86813e+10
35 -2.95828e+10
36 -4.00066e+10
37 -4.98031e+10
38 -5.88666e+10
39 -6.71301e+10
40 -7.45591e+10
41 -8.11443e+10
42 -8.68956e+10
43 -9.18348e+10
44 -9.59901e+10
45 -9.93912e+10
46 -1.02065e+11
47 -1.04031e+11
48 -1.053e+11
49 -1.0587e+11
50 -1.05719e+11
51 -1.04812e+11
52 -1.03115e+11
53 -1.00602e+11
54 -9.72536e+10
55 -9.30477e+10
56 -8.79595e+10
57 -8.19565e+10
58 -7.49933e+10
59 -6.70085e+10
60 -5.79268e+10
61 -4.76632e+10
62 -3.61256e+10
63 -2.31977e+10
64 -8.61663e+09
65 4.30831e+09
