
# vx values
0 6.55296e+09
1 7.01357e+09
2 6.00879e+09
3 3.56789e+09
4 1.84636e+09
5 4.88436e+08
6 -6.24476e+08
7 -1.53957e+09
8 -2.30574e+09
9 -2.96366e+09
10 -3.53782e+09
11 -4.04021e+09
12 -4.47097e+09
13 -4.81901e+09
14 -5.04974e+09
15 -5.14579e+09
16 -5.11951e+09
17 -4.97792e+09
18 -4.7288e+09
19 -4.3775e+09
20 -3.92251e+09
21 -3.3535e+09
22 -2.65096e+09
23 -1.78771e+09
24 -7.35599e+08
25 5.00705e+08
26 1.86232e+09
27 3.2665e+09
28 4.63063e+09
29 5.87317e+09
30 6.92004e+09
31 7.71171e+09
32 8.20051e+09
33 8.32436e+09
34 8.09027e+09
35 7.60308e+09
36 6.96164e+09
37 6.23982e+09
38 5.49464e+09
39 4.76716e+09
40 4.08348e+09
41 3.45687e+09
42 2.89067e+09
43 2.38114e+09
44 1.91987e+09
45 1.49566e+09
46 1.09602e+09
47 7.08278e+08
48 3.20386e+08
49 -7.5429e+07
50 -4.77553e+08
51 -8.79444e+08
52 -1.27832e+09
53 -1.67697e+09
54 -2.08262e+09
55 -2.5062e+09
56 -2.9616e+09
57 -3.46476e+09
58 -4.03236e+09
59 -4.67979e+09
60 -5.41836e+09
61 -6.25247e+09
62 -7.18236e+09
63 -8.23704e+09
64 -7.02277e+09
65 -5.24273e+09

# vy values
0 6.55296e+09
1 -1.31059e+10
2 -2.80543e+10
3 -3.71411e+10
4 -4.23258e+10
5 -4.45265e+10
6 -4.42796e+10
7 -4.20286e+10
8 -3.81213e+10
9 -3.28056e+10
10 -2.62667e+10
11 -1.86543e+10
12 -1.01058e+10
13 -7.70444e+08
14 9.17021e+09
15 1.94285e+10
16 2.97534e+10
17 3.99066e+10
18 4.9665e+10
19 5.88218e+10
20 6.71751e+10
21 7.45118e+10
22 8.05891e+10
23 8.51156e+10
24 8.77399e+10
25 8.8058e+10
26 8.57371e+10
27 8.06088e+10
28 7.26711e+10
29 6.20863e+10
30 4.91784e+10
31 3.44061e+10
32 1.83316e+10
33 1.60406e+09
34 -1.49659e+10
35 -3.0757e+10
36 -4.53782e+10
37 -5.86036e+10
38 -7.03375e+10
39 -8.05821e+10
40 -8.94061e+10
41 -9.6916e+10
42 -1.03234e+11
43 -1.08479e+11
44 -1.12758e+11
45 -1.16158e+11
46 -1.18741e+11
47 -1.20542e+11
48 -1.21574e+11
49 -1.21824e+11
50 -1.21272e+11
51 -1.19914e+11
52 -1.17754e+11
53 -1.148e+11
54 -1.11047e+11
55 -1.0647e+11
56 -1.01022e+11
57 -9.46234e+10
58 -8.71627e+10
59 -7.8494e+10
60 -6.84435e+10
61 -5.68205e+10
62 -4.34336e+10
63 -2.80911e+10
64 -1.04855e+10
65 5.24273e+09
