
# vx values
0 5.59158e+09
1 5.95577e+09
2 5.04436e+09
3 2.91196e+09
4 1.39656e+09
5 2.00338e+08
6 -7.74496e+08
7 -1.57825e+09
8 -2.25967e+09
9 -2.84898e+09
10 -3.36206e+09
11 -3.80404e+09
12 -4.16602e+09
13 -4.42336e+09
14 -4.56266e+09
15 -4.58508e+09
16 -4.48667e+09
17 -4.26211e+09
18 -3.90962e+09
19 -3.43232e+09
20 -2.8374e+09
21 -2.13231e+09
22 -1.31765e+09
23 -3.84285e+08
24 6.57107e+08
25 1.75447e+09
26 2.83988e+09
27 3.85271e+09
28 4.74722e+09
29 5.4967e+09
30 6.09314e+09
31 6.53706e+09
32 6.79654e+09
33 6.82141e+09
34 6.62423e+09
35 6.26387e+09
36 5.79418e+09
37 5.26189e+09
38 4.7045e+09
39 4.14952e+09
40 3.615e+09
41 3.11095e+09
42 2.64104e+09
43 2.20441e+09
44 1.79701e+09
45 1.41268e+09
46 1.04366e+09
47 6.80977e+08
48 3.14769e+08
49 -6.3616e+07
50 -4.56295e+08
51 -8.58041e+08
52 -1.26368e+09
53 -1.67247e+09
54 -2.08742e+09
55 -2.51491e+09
56 -2.96425e+09
57 -3.44707e+09
58 -3.97627e+09
59 -4.56432e+09
60 -5.22078e+09
61 -5.95037e+09
62 -6.75665e+09
63 -7.67374e+09
64 -6.5034e+09
65 -4.83892e+09

# vy values
0 5.59158e+09
1 -1.11832e+10
2 -2.38231e+10
3 -3.13606e+10
4 -3.54709e+10
5 -3.69468e+10
6 -3.62723e+10
7 -3.38488e+10
8 -2.99593e+10
9 -2.48102e+10
10 -1.85634e+10
11 -1.13619e+10
12 -3.34718e+09
13 5.30216e+09
14 1.43463e+10
15 2.35528e+10
16 3.26866e+10
17 4.14995e+10
18 4.9735e+10
19 5.7138e+10
20 6.34643e+10
21 6.84876e+10
22 7.19935e+10
23 7.37582e+10
24 7.35307e+10
25 7.11298e+10
26 6.65128e+10
27 5.97703e+10
28 5.11019e+10
29 4.07814e+10
30 2.91151e+10
31 1.64088e+10
32 2.9669e+09
33 -1.07774e+10
34 -2.43188e+10
35 -3.72743e+10
36 -4.93742e+10
37 -6.0451e+10
38 -7.04218e+10
39 -7.9269e+10
40 -8.70199e+10
41 -9.3729e+10
42 -9.94637e+10
43 -1.04293e+11
44 -1.08281e+11
45 -1.11481e+11
46 -1.13932e+11
47 -1.15656e+11
48 -1.16656e+11
49 -1.16915e+11
50 -1.16401e+11
51 -1.1509e+11
52 -1.12969e+11
53 -1.10035e+11
54 -1.06279e+11
55 -1.01685e+11
56 -9.62198e+10
57 -8.98284e+10
58 -8.24315e+10
59 -7.39233e+10
60 -6.41743e+10
61 -5.30402e+10
62 -4.03728e+10
63 -2.60136e+10
64 -9.67784e+09
65 4.83892e+09
