
# vx values
0 1.3516e+09
1 3.53638e+09
2 6.21293e+09
3 6.78687e+09
4 6.76007e+09
5 6.45316e+09
6 6.02233e+09
7 5.55037e+09
8 5.08042e+09
9 4.63314e+09
10 4.21667e+09
11 3.83265e+09
12 3.47952e+09
13 3.15437e+09
14 2.85387e+09
15 2.57462e+09
16 2.31332e+09
17 2.06684e+09
18 1.8322e+09
19 1.6066e+09
20 1.38744e+09
21 1.17231e+09
22 9.59029e+08
23 7.45699e+08
24 5.30724e+08
25 3.12835e+08
26 9.13994e+07
27 -1.31821e+08
28 -3.53209e+08
29 -5.70556e+08
30 -7.83886e+08
31 -9.94639e+08
32 -1.20503e+09
33 -1.41772e+09
34 -1.63564e+09
35 -1.86221e+09
36 -2.10167e+09
37 -2.35991e+09
38 -2.64537e+09
39 -2.97013e+09
40 -3.35015e+09
41 -3.80365e+09
42 -4.34585e+09
43 -4.97815e+09
44 -5.67228e+09
45 -6.35435e+09
46 -6.90253e+09
47 -7.17464e+09
48 -7.06762e+09
49 -6.57482e+09
50 -5.79382e+09
51 -4.87218e+09
52 -3.92191e+09
53 -3.00935e+09
54 -2.17818e+09
55 -1.43187e+09
56 -7.50034e+08
57 -1.13003e+08
58 4.97221e+08
59 1.07729e+09
60 1.60146e+09
61 2.04169e+09
62 2.36241e+09
63 2.50843e+09
64 1.83037e+09
65 1.13151e+09

# vy values
0 1.3516e+09
1 -2.7032e+09
2 -1.41455e+10
3 -2.75549e+10
4 -4.1293e+10
5 -5.45952e+10
6 -6.71056e+10
7 -7.86845e+10
8 -8.93071e+10
9 -9.90062e+10
10 -1.0784e+11
11 -1.15873e+11
12 -1.2317e+11
13 -1.29791e+11
14 -1.35788e+11
15 -1.41206e+11
16 -1.46086e+11
17 -1.5046e+11
18 -1.54354e+11
19 -1.57789e+11
20 -1.6078e+11
21 -1.63338e+11
22 -1.65469e+11
23 -1.67174e+11
24 -1.68452e+11
25 -1.69297e+11
26 -1.69703e+11
27 -1.69663e+11
28 -1.69176e+11
29 -1.6825e+11
30 -1.66894e+11
31 -1.65115e+11
32 -1.62915e+11
33 -1.60294e+11
34 -1.57244e+11
35 -1.53752e+11
36 -1.49796e+11
37 -1.45345e+11
38 -1.40356e+11
39 -1.34764e+11
40 -1.28475e+11
41 -1.21363e+11
42 -1.13261e+11
43 -1.0398e+11
44 -9.33482e+10
45 -8.12905e+10
46 -6.79308e+10
47 -5.36804e+10
48 -3.92322e+10
49 -2.54099e+10
50 -1.2933e+10
51 -2.23467e+09
52 6.55575e+09
53 1.3453e+10
54 1.85931e+10
55 2.21657e+10
56 2.43206e+10
57 2.51658e+10
58 2.47727e+10
59 2.3177e+10
60 2.04635e+10
61 1.67711e+10
62 1.22967e+10
63 7.32148e+09
64 2.26301e+09
65 -1.13151e+09
