
# vx values
0 8.26198e+09
1 9.06476e+09
2 8.15809e+09
3 5.3158e+09
4 3.32429e+09
5 1.78051e+09
6 5.56532e+08
7 -5.38191e+08
8 -1.58086e+09
9 -2.50911e+09
10 -3.36579e+09
11 -4.18412e+09
12 -4.98658e+09
13 -5.78265e+09
14 -6.56066e+09
15 -7.26624e+09
16 -7.81857e+09
17 -8.17684e+09
18 -8.32324e+09
19 -8.21892e+09
20 -7.82174e+09
21 -7.10371e+09
22 -6.06357e+09
23 -4.73099e+09
24 -3.15213e+09
25 -1.35131e+09
26 6.97953e+08
27 3.00197e+09
28 5.47399e+09
29 7.91147e+09
30 1.0014e+10
31 1.1493e+10
32 1.22011e+10
33 1.21836e+10
34 1.15628e+10
35 1.05115e+10
36 9.25435e+09
37 7.9667e+09
38 6.75472e+09
39 5.67085e+09
40 4.73061e+09
41 3.9281e+09
42 3.24645e+09
43 2.66393e+09
44 2.15756e+09
45 1.7052e+09
46 1.28668e+09
47 8.84096e+08
48 4.81852e+08
49 6.85604e+07
50 -3.57178e+08
51 -7.88471e+08
52 -1.22137e+09
53 -1.65984e+09
54 -2.11413e+09
55 -2.59908e+09
56 -3.13298e+09
57 -3.73644e+09
58 -4.4312e+09
59 -5.23815e+09
60 -6.17396e+09
61 -7.24666e+09
62 -8.45681e+09
63 -9.83518e+09
64 -8.47125e+09
65 -6.36819e+09

# vy values
0 8.26198e+09
1 -1.6524e+10
2 -3.6259e+10
3 -4.91563e+10
4 -5.75223e+10
5 -6.24535e+10
6 -6.46443e+10
7 -6.46796e+10
8 -6.24915e+10
9 -5.83562e+10
10 -5.24551e+10
11 -4.4893e+10
12 -3.57186e+10
13 -2.49467e+10
14 -1.2588e+10
15 1.29596e+09
16 1.6477e+10
17 3.25702e+10
18 4.91843e+10
19 6.58632e+10
20 8.206e+10
21 9.71501e+10
22 1.10475e+11
23 1.21404e+11
24 1.29399e+11
25 1.34013e+11
26 1.34804e+11
27 1.31221e+11
28 1.22796e+11
29 1.09325e+11
30 9.11503e+10
31 6.9269e+10
32 4.51783e+10
33 2.04644e+10
34 -3.55608e+09
35 -2.57866e+10
36 -4.56019e+10
37 -6.2804e+10
38 -7.74687e+10
39 -8.98229e+10
40 -1.00152e+11
41 -1.08745e+11
42 -1.15865e+11
43 -1.21731e+11
44 -1.2652e+11
45 -1.30361e+11
46 -1.33341e+11
47 -1.35508e+11
48 -1.36877e+11
49 -1.37435e+11
50 -1.37152e+11
51 -1.36007e+11
52 -1.33998e+11
53 -1.31121e+11
54 -1.27358e+11
55 -1.22665e+11
56 -1.16962e+11
57 -1.10133e+11
58 -1.02016e+11
59 -9.24081e+10
60 -8.10638e+10
61 -6.77122e+10
62 -5.20771e+10
63 -3.3885e+10
64 -1.27364e+10
65 6.36819e+09
