
# vx values
0 1.05034e+09
1 3.08091e+09
2 5.63873e+09
3 6.29319e+09
4 6.35357e+09
5 6.12354e+09
6 5.75447e+09
7 5.33018e+09
8 4.89675e+09
9 4.47772e+09
10 4.08347e+09
11 3.71707e+09
12 3.37791e+09
13 3.06367e+09
14 2.77143e+09
15 2.49819e+09
16 2.24103e+09
17 1.99721e+09
18 1.76414e+09
19 1.53938e+09
20 1.32062e+09
21 1.1057e+09
22 8.92583e+08
23 6.79444e+08
24 4.64677e+08
25 2.46941e+08
26 2.5921e+07
27 -1.96058e+08
28 -4.15547e+08
29 -6.30952e+08
30 -8.42677e+08
31 -1.05234e+09
32 -1.2623e+09
33 -1.47537e+09
34 -1.69475e+09
35 -1.92417e+09
36 -2.16819e+09
37 -2.43279e+09
38 -2.72609e+09
39 -3.05909e+09
40 -3.44599e+09
41 -3.90304e+09
42 -4.44468e+09
43 -5.0752e+09
44 -5.77557e+09
45 -6.48854e+09
46 -7.11189e+09
47 -7.51277e+09
48 -7.56822e+09
49 -7.21228e+09
50 -6.4573e+09
51 -5.35688e+09
52 -4.06727e+09
53 -2.81127e+09
54 -1.71832e+09
55 -8.07408e+08
56 -2.563e+07
57 6.89738e+08
58 1.36183e+09
59 1.97345e+09
60 2.5025e+09
61 2.93306e+09
62 3.24543e+09
63 3.39763e+09
64 2.50418e+09
65 1.58226e+09

# vy values
0 1.05034e+09
1 -2.10068e+09
2 -1.23236e+10
3 -2.46556e+10
4 -3.74964e+10
5 -5.00699e+10
6 -6.19906e+10
7 -7.30878e+10
8 -8.33113e+10
9 -9.26748e+10
10 -1.01222e+11
11 -1.09009e+11
12 -1.1609e+11
13 -1.2252e+11
14 -1.28345e+11
15 -1.33606e+11
16 -1.38338e+11
17 -1.4257e+11
18 -1.46327e+11
19 -1.49627e+11
20 -1.52484e+11
21 -1.54909e+11
22 -1.56907e+11
23 -1.5848e+11
24 -1.59625e+11
25 -1.60338e+11
26 -1.60613e+11
27 -1.60442e+11
28 -1.59828e+11
29 -1.5878e+11
30 -1.57305e+11
31 -1.55409e+11
32 -1.53095e+11
33 -1.5036e+11
34 -1.47194e+11
35 -1.43581e+11
36 -1.39497e+11
37 -1.34908e+11
38 -1.29766e+11
39 -1.24004e+11
40 -1.17529e+11
41 -1.1022e+11
42 -1.01917e+11
43 -9.2441e+10
44 -8.16165e+10
45 -6.93388e+10
46 -5.56624e+10
47 -4.08912e+10
48 -2.56113e+10
49 -1.06183e+10
50 3.23781e+09
51 1.52109e+10
52 2.46653e+10
53 3.148e+10
54 3.59104e+10
55 3.83532e+10
56 3.914e+10
57 3.84558e+10
58 3.63811e+10
59 3.30084e+10
60 2.84873e+10
61 2.29985e+10
62 1.6755e+10
63 1.00167e+10
64 3.16453e+09
65 -1.58226e+09
