
# vx values
0 1.23022e+09
1 3.35357e+09
2 5.98411e+09
3 6.59241e+09
4 6.60192e+09
5 6.32654e+09
6 5.92075e+09
7 5.46789e+09
8 5.0123e+09
9 4.57581e+09
10 4.1675e+09
11 3.78966e+09
12 3.44116e+09
13 3.11942e+09
14 2.8213e+09
15 2.5436e+09
16 2.2832e+09
17 2.03713e+09
18 1.80257e+09
19 1.57687e+09
20 1.3575e+09
21 1.14214e+09
22 9.28655e+08
23 7.15136e+08
24 4.99964e+08
25 2.8181e+08
26 6.01452e+07
27 -1.63023e+08
28 -3.84148e+08
29 -6.01325e+08
30 -8.14803e+08
31 -1.02616e+09
32 -1.23774e+09
33 -1.45231e+09
34 -1.67298e+09
35 -1.90332e+09
36 -2.14776e+09
37 -2.41223e+09
38 -2.70512e+09
39 -3.03807e+09
40 -3.4263e+09
41 -3.88703e+09
42 -4.4346e+09
43 -5.07057e+09
44 -5.76917e+09
45 -6.46275e+09
46 -7.03871e+09
47 -7.36111e+09
48 -7.31905e+09
49 -6.87788e+09
50 -6.09503e+09
51 -5.07928e+09
52 -3.95611e+09
53 -2.87199e+09
54 -1.92277e+09
55 -1.10528e+09
56 -3.75293e+08
57 3.07267e+08
58 9.56423e+08
59 1.55478e+09
60 2.07299e+09
61 2.48583e+09
62 2.76145e+09
63 2.84246e+09
64 2.01254e+09
65 1.20008e+09

# vy values
0 1.23022e+09
1 -2.46044e+09
2 -1.34143e+10
3 -2.63969e+10
4 -3.97839e+10
5 -5.28046e+10
6 -6.50901e+10
7 -7.64876e+10
8 -8.69616e+10
9 -9.65368e+10
10 -1.05265e+11
11 -1.13207e+11
12 -1.20423e+11
13 -1.26971e+11
14 -1.32901e+11
15 -1.38257e+11
16 -1.43076e+11
17 -1.47389e+11
18 -1.51224e+11
19 -1.546e+11
20 -1.57531e+11
21 -1.6003e+11
22 -1.621e+11
23 -1.63744e+11
24 -1.64961e+11
25 -1.65744e+11
26 -1.66088e+11
27 -1.65985e+11
28 -1.65436e+11
29 -1.64448e+11
30 -1.6303e+11
31 -1.61189e+11
32 -1.58926e+11
33 -1.56238e+11
34 -1.53117e+11
35 -1.49546e+11
36 -1.45503e+11
37 -1.40955e+11
38 -1.35854e+11
39 -1.30135e+11
40 -1.23702e+11
41 -1.16429e+11
42 -1.08154e+11
43 -9.86909e+10
44 -8.78716e+10
45 -7.56143e+10
46 -6.20206e+10
47 -4.74594e+10
48 -3.25762e+10
49 -1.81832e+10
50 -5.06465e+09
51 6.19692e+09
52 1.52525e+10
53 2.20214e+10
54 2.67404e+10
55 2.97125e+10
56 3.11615e+10
57 3.12136e+10
58 2.99325e+10
59 2.73879e+10
60 2.37133e+10
61 1.9096e+10
62 1.377e+10
63 8.05017e+09
64 2.40015e+09
65 -1.20008e+09
