
# vx values
0 2.67342e+08
1 1.11956e+09
2 2.24257e+09
3 2.61872e+09
4 2.75242e+09
5 2.76808e+09
6 2.71933e+09
7 2.63355e+09
8 2.52568e+09
9 2.40389e+09
10 2.27254e+09
11 2.13391e+09
12 1.98928e+09
13 1.83953e+09
14 1.68538e+09
15 1.52744e+09
16 1.36617e+09
17 1.20185e+09
18 1.0345e+09
19 8.63927e+08
20 6.89542e+08
21 5.10513e+08
22 3.26074e+08
23 1.35642e+08
24 -6.09903e+07
25 -2.63238e+08
26 -4.70093e+08
27 -6.80852e+08
28 -8.95325e+08
29 -1.114e+09
30 -1.33837e+09
31 -1.57146e+09
32 -1.81838e+09
33 -2.08654e+09
34 -2.3843e+09
35 -2.71603e+09
36 -3.07134e+09
37 -3.4088e+09
38 -3.64293e+09
39 -3.6567e+09
40 -3.36094e+09
41 -2.77968e+09
42 -2.07522e+09
43 -1.45178e+09
44 -1.01694e+09
45 -7.48555e+08
46 -5.82434e+08
47 -4.70326e+08
48 -3.78914e+08
49 -2.90767e+08
50 -1.98857e+08
51 -1.00989e+08
52 3.00835e+06
53 1.1226e+08
54 2.23106e+08
55 3.2947e+08
56 4.26106e+08
57 5.07427e+08
58 5.65542e+08
59 5.89816e+08
60 5.65195e+08
61 4.69586e+08
62 2.69827e+08
63 -9.5931e+07
64 -4.94909e+08
65 -6.5905e+08

# vy values
0 2.67342e+08
1 -5.34684e+08
2 -4.47822e+09
3 -9.50498e+09
4 -1.49531e+10
5 -2.05147e+10
6 -2.60254e+10
7 -3.1392e+10
8 -3.65596e+10
9 -4.14947e+10
10 -4.61752e+10
11 -5.05849e+10
12 -5.47108e+10
13 -5.8542e+10
14 -6.20689e+10
15 -6.52835e+10
16 -6.81787e+10
17 -7.07482e+10
18 -7.29861e+10
19 -7.48862e+10
20 -7.64418e+10
21 -7.76444e+10
22 -7.84838e+10
23 -7.89487e+10
24 -7.90264e+10
25 -7.87047e+10
26 -7.79735e+10
27 -7.68243e+10
28 -7.52501e+10
29 -7.32431e+10
30 -7.07941e+10
31 -6.78896e+10
32 -6.45082e+10
33 -6.0616e+10
34 -5.6162e+10
35 -5.10788e+10
36 -4.52979e+10
37 -3.87935e+10
38 -3.16627e+10
39 -2.42217e+10
40 -1.70359e+10
41 -1.0778e+10
42 -5.91724e+09
43 -2.47707e+09
44 -1.10132e+08
45 1.59069e+09
46 2.88409e+09
47 3.92042e+09
48 4.76539e+09
49 5.43608e+09
50 5.92846e+09
51 6.23151e+09
52 6.33242e+09
53 6.21947e+09
54 5.88338e+09
55 5.32705e+09
56 4.56549e+09
57 3.62262e+09
58 2.53578e+09
59 1.36045e+09
60 1.76521e+08
61 -9.00326e+08
62 -1.70182e+09
63 -1.97964e+09
64 -1.3181e+09
65 6.5905e+08
