
# vx values
0 -8.08965e+08
1 2.61316e+08
2 2.01134e+09
3 3.04522e+09
4 3.5786e+09
5 3.82777e+09
6 3.89573e+09
7 3.84452e+09
8 3.71598e+09
9 3.53922e+09
10 3.33438e+09
11 3.11507e+09
12 2.89011e+09
13 2.66492e+09
14 2.44257e+09
15 2.22452e+09
16 2.01119e+09
17 1.80235e+09
18 1.59738e+09
19 1.3955e+09
20 1.19584e+09
21 9.97517e+08
22 7.99664e+08
23 6.01432e+08
24 4.02058e+08
25 2.00914e+08
26 -1.94633e+06
27 -2.04778e+08
28 -4.05233e+08
29 -6.02112e+08
30 -7.95276e+08
31 -9.8524e+08
32 -1.17292e+09
33 -1.35948e+09
34 -1.54621e+09
35 -1.73445e+09
36 -1.92554e+09
37 -2.12071e+09
38 -2.32106e+09
39 -2.52738e+09
40 -2.74008e+09
41 -2.95895e+09
42 -3.18296e+09
43 -3.40996e+09
44 -3.63634e+09
45 -3.85631e+09
46 -4.0608e+09
47 -4.23613e+09
48 -4.36222e+09
49 -4.40763e+09
50 -4.3256e+09
51 -4.07686e+09
52 -3.66641e+09
53 -3.12458e+09
54 -2.47969e+09
55 -1.76412e+09
56 -1.01234e+09
57 -2.52274e+08
58 5.02962e+08
59 1.24858e+09
60 1.98184e+09
61 2.71175e+09
62 3.47859e+09
63 4.40912e+09
64 4.20084e+09
65 3.46245e+09

# vy values
0 -8.08965e+08
1 1.61793e+09
2 -1.04526e+09
3 -6.42741e+09
4 -1.32261e+10
5 -2.07418e+10
6 -2.85372e+10
7 -3.63247e+10
8 -4.39153e+10
9 -5.11886e+10
10 -5.80722e+10
11 -6.45262e+10
12 -7.05325e+10
13 -7.60866e+10
14 -8.11922e+10
15 -8.58569e+10
16 -9.00903e+10
17 -9.39017e+10
18 -9.72996e+10
19 -1.00291e+11
20 -1.02882e+11
21 -1.05075e+11
22 -1.06872e+11
23 -1.08273e+11
24 -1.09277e+11
25 -1.09881e+11
26 -1.10081e+11
27 -1.09874e+11
28 -1.09262e+11
29 -1.08253e+11
30 -1.06854e+11
31 -1.05072e+11
32 -1.02913e+11
33 -1.0038e+11
34 -9.74747e+10
35 -9.41951e+10
36 -9.05369e+10
37 -8.6493e+10
38 -8.2054e+10
39 -7.72087e+10
40 -7.19445e+10
41 -6.62484e+10
42 -6.01087e+10
43 -5.35166e+10
44 -4.64689e+10
45 -3.89713e+10
46 -3.10436e+10
47 -2.27281e+10
48 -1.40991e+10
49 -5.27921e+09
50 3.53137e+09
51 1.20232e+10
52 1.98388e+10
53 2.66888e+10
54 3.23371e+10
55 3.66076e+10
56 3.93936e+10
57 4.0657e+10
58 4.04027e+10
59 3.86451e+10
60 3.54084e+10
61 3.07177e+10
62 2.45614e+10
63 1.68034e+10
64 6.92491e+09
65 -3.46245e+09
