
# vx values
0 1.43086e+09
1 3.55035e+09
2 6.10666e+09
3 6.59684e+09
4 6.52916e+09
5 6.20888e+09
6 5.78207e+09
7 5.32439e+09
8 4.87417e+09
9 4.44895e+09
10 4.05503e+09
11 3.69299e+09
12 3.36087e+09
13 3.05565e+09
14 2.77404e+09
15 2.51271e+09
16 2.26839e+09
17 2.03794e+09
18 1.81833e+09
19 1.60668e+09
20 1.4003e+09
21 1.19671e+09
22 9.9364e+08
23 7.89164e+08
24 5.81679e+08
25 3.69966e+08
26 1.53498e+08
27 -6.61304e+07
28 -2.85672e+08
29 -5.02967e+08
30 -7.17847e+08
31 -9.31539e+08
32 -1.14609e+09
33 -1.36406e+09
34 -1.58838e+09
35 -1.82255e+09
36 -2.07106e+09
37 -2.34015e+09
38 -2.63881e+09
39 -2.97966e+09
40 -3.37912e+09
41 -3.85551e+09
42 -4.42332e+09
43 -5.08203e+09
44 -5.79986e+09
45 -6.49774e+09
46 -7.04637e+09
47 -7.29258e+09
48 -7.11678e+09
49 -6.49701e+09
50 -5.53809e+09
51 -4.41914e+09
52 -3.30992e+09
53 -2.34129e+09
54 -1.56544e+09
55 -9.47541e+08
56 -4.25157e+08
57 5.63234e+07
58 5.3314e+08
59 1.00543e+09
60 1.44478e+09
61 1.81901e+09
62 2.09008e+09
63 2.20483e+09
64 1.57067e+09
65 9.26147e+08

# vy values
0 1.43086e+09
1 -2.86171e+09
2 -1.42014e+10
3 -2.72883e+10
4 -4.05888e+10
5 -5.3405e+10
6 -6.54243e+10
7 -7.65332e+10
8 -8.67218e+10
9 -9.60299e+10
10 -1.04518e+11
11 -1.1225e+11
12 -1.1929e+11
13 -1.25693e+11
14 -1.31512e+11
15 -1.3679e+11
16 -1.41563e+11
17 -1.45863e+11
18 -1.49715e+11
19 -1.53137e+11
20 -1.56142e+11
21 -1.58738e+11
22 -1.60928e+11
23 -1.62712e+11
24 -1.64085e+11
25 -1.65039e+11
26 -1.65565e+11
27 -1.65653e+11
28 -1.653e+11
29 -1.6451e+11
30 -1.63288e+11
31 -1.61639e+11
32 -1.59562e+11
33 -1.57055e+11
34 -1.54106e+11
35 -1.50701e+11
36 -1.46816e+11
37 -1.42417e+11
38 -1.37455e+11
39 -1.31862e+11
40 -1.25537e+11
41 -1.18345e+11
42 -1.10115e+11
43 -1.00652e+11
44 -8.97865e+10
45 -7.74524e+10
46 -6.37956e+10
47 -4.92669e+10
48 -3.46252e+10
49 -2.07998e+10
50 -8.63719e+09
51 1.35259e+09
52 9.03936e+09
53 1.45923e+10
54 1.84045e+10
55 2.0854e+10
56 2.21947e+10
57 2.25547e+10
58 2.19694e+10
59 2.04221e+10
60 1.79477e+10
61 1.4643e+10
62 1.06716e+10
63 6.28267e+09
64 1.85229e+09
65 -9.26147e+08
