
# vx values
0 8.37041e+09
1 9.18515e+09
2 8.26531e+09
3 5.37747e+09
4 3.34762e+09
5 1.77134e+09
6 5.22832e+08
7 -5.87276e+08
8 -1.64778e+09
9 -2.5965e+09
10 -3.46468e+09
11 -4.28561e+09
12 -5.08166e+09
13 -5.86055e+09
14 -6.60655e+09
15 -7.25932e+09
16 -7.74225e+09
17 -8.02761e+09
18 -8.10534e+09
19 -7.94257e+09
20 -7.50737e+09
21 -6.78643e+09
22 -5.792e+09
23 -4.55265e+09
24 -3.08596e+09
25 -1.36448e+09
26 6.57114e+08
27 2.95425e+09
28 5.413e+09
29 7.81859e+09
30 9.87798e+09
31 1.13257e+10
32 1.20364e+10
33 1.2053e+10
34 1.1465e+10
35 1.04354e+10
36 9.19554e+09
37 7.91849e+09
38 6.71275e+09
39 5.6331e+09
40 4.69647e+09
41 3.89758e+09
42 3.2197e+09
43 2.64092e+09
44 2.138e+09
45 1.68848e+09
46 1.27198e+09
47 8.7059e+08
48 4.6899e+08
49 5.66093e+07
50 -3.66938e+08
51 -7.94606e+08
52 -1.22308e+09
53 -1.65711e+09
54 -2.10763e+09
55 -2.59016e+09
56 -3.12347e+09
57 -3.72857e+09
58 -4.4274e+09
59 -5.24093e+09
60 -6.18559e+09
61 -7.2689e+09
62 -8.49061e+09
63 -9.88118e+09
64 -8.51552e+09
65 -6.40443e+09

# vy values
0 8.37041e+09
1 -1.67408e+10
2 -3.67406e+10
3 -4.9802e+10
4 -5.82505e+10
5 -6.31925e+10
6 -6.53358e+10
7 -6.52838e+10
8 -6.29867e+10
9 -5.86927e+10
10 -5.26007e+10
11 -4.4834e+10
12 -3.54583e+10
13 -2.45073e+10
14 -1.20161e+10
15 1.91887e+09
16 1.70212e+10
17 3.28879e+10
18 4.91316e+10
19 6.53092e+10
20 8.09019e+10
21 9.53387e+10
22 1.08048e+11
23 1.18507e+11
24 1.26258e+11
25 1.30851e+11
26 1.31716e+11
27 1.28222e+11
28 1.19899e+11
29 1.0657e+11
30 8.86248e+10
31 6.70582e+10
32 4.33218e+10
33 1.89127e+10
34 -4.89008e+09
35 -2.69473e+10
36 -4.66315e+10
37 -6.37294e+10
38 -7.83055e+10
39 -9.05804e+10
40 -1.00838e+11
41 -1.09366e+11
42 -1.16428e+11
43 -1.22245e+11
44 -1.26992e+11
45 -1.30797e+11
46 -1.33746e+11
47 -1.35885e+11
48 -1.37228e+11
49 -1.37761e+11
50 -1.37455e+11
51 -1.36293e+11
52 -1.34276e+11
53 -1.31401e+11
54 -1.27648e+11
55 -1.2297e+11
56 -1.17287e+11
57 -1.10476e+11
58 -1.02373e+11
59 -9.27668e+10
60 -8.14092e+10
61 -6.80245e+10
62 -5.23336e+10
63 -3.40621e+10
64 -1.28089e+10
65 6.40443e+09
