
# vx values
0 6.28247e+08
1 1.84894e+09
2 3.39244e+09
3 3.81468e+09
4 3.90888e+09
5 3.84504e+09
6 3.70079e+09
7 3.51692e+09
8 3.31553e+09
9 3.10812e+09
10 2.90018e+09
11 2.69401e+09
12 2.49042e+09
13 2.28965e+09
14 2.09171e+09
15 1.89652e+09
16 1.7038e+09
17 1.51309e+09
18 1.32368e+09
19 1.13465e+09
20 9.4491e+08
21 7.53203e+08
22 5.58307e+08
23 3.59162e+08
24 1.54893e+08
25 -5.46597e+07
26 -2.68238e+08
27 -4.84039e+08
28 -7.01044e+08
29 -9.19209e+08
30 -1.13938e+09
31 -1.36331e+09
32 -1.59393e+09
33 -1.83579e+09
34 -2.09574e+09
35 -2.38361e+09
36 -2.71176e+09
37 -3.09195e+09
38 -3.5268e+09
39 -3.99432e+09
40 -4.42953e+09
41 -4.71792e+09
42 -4.72484e+09
43 -4.36899e+09
44 -3.69798e+09
45 -2.8882e+09
46 -2.14617e+09
47 -1.58745e+09
48 -1.20364e+09
49 -9.40649e+08
50 -7.50686e+08
51 -5.92685e+08
52 -4.41301e+08
53 -2.84109e+08
54 -1.159e+08
55 6.52738e+07
56 2.55852e+08
57 4.45292e+08
58 6.21063e+08
59 7.69862e+08
60 8.74535e+08
61 9.11274e+08
62 8.46266e+08
63 6.22167e+08
64 1.49524e+08
65 -1.61936e+08

# vy values
0 6.28247e+08
1 -1.25649e+09
2 -7.39576e+09
3 -1.48263e+10
4 -2.26545e+10
5 -3.04618e+10
6 -3.80346e+10
7 -4.52649e+10
8 -5.21023e+10
9 -5.85271e+10
10 -6.45348e+10
11 -7.01278e+10
12 -7.53108e+10
13 -8.00895e+10
14 -8.44694e+10
15 -8.84563e+10
16 -9.20555e+10
17 -9.52716e+10
18 -9.81079e+10
19 -1.00566e+11
20 -1.02646e+11
21 -1.04346e+11
22 -1.05659e+11
23 -1.06579e+11
24 -1.07096e+11
25 -1.07199e+11
26 -1.06877e+11
27 -1.06126e+11
28 -1.04941e+11
29 -1.03322e+11
30 -1.01264e+11
31 -9.87641e+10
32 -9.58111e+10
33 -9.23884e+10
34 -8.84679e+10
35 -8.40054e+10
36 -7.89335e+10
37 -7.31584e+10
38 -6.65657e+10
39 -5.90512e+10
40 -5.05884e+10
41 -4.1333e+10
42 -3.17167e+10
43 -2.24337e+10
44 -1.42408e+10
45 -7.6418e+09
46 -2.68796e+09
47 9.42864e+08
48 3.66184e+09
49 5.75741e+09
50 7.42443e+09
51 8.76015e+09
52 9.79517e+09
53 1.05254e+10
54 1.09316e+10
55 1.0989e+10
56 1.06705e+10
57 9.96555e+09
58 8.88934e+09
59 7.4813e+09
60 5.80989e+09
61 3.98316e+09
62 2.1648e+09
63 5.98095e+08
64 -3.23871e+08
65 1.61936e+08
