
# vx values
0 2.09924e+08
1 2.28173e+08
2 1.44078e+08
3 -5.83496e+07
4 -2.52102e+08
5 -4.32928e+08
6 -6.01339e+08
7 -7.58211e+08
8 -9.03398e+08
9 -1.03518e+09
10 -1.15025e+09
11 -1.24534e+09
12 -1.32147e+09
13 -1.38908e+09
14 -1.46004e+09
15 -1.52826e+09
16 -1.57604e+09
17 -1.59217e+09
18 -1.57366e+09
19 -1.52245e+09
20 -1.44303e+09
21 -1.34203e+09
22 -1.22787e+09
23 -1.10598e+09
24 -9.70464e+08
25 -7.99862e+08
26 -5.67656e+08
27 -2.6258e+08
28 1.09823e+08
29 5.31382e+08
30 9.71112e+08
31 1.3958e+09
32 1.777e+09
33 2.09252e+09
34 2.32951e+09
35 2.48516e+09
36 2.56476e+09
37 2.57888e+09
38 2.54164e+09
39 2.47077e+09
40 2.38693e+09
41 2.30578e+09
42 2.22141e+09
43 2.11741e+09
44 1.99231e+09
45 1.85249e+09
46 1.70127e+09
47 1.53995e+09
48 1.36862e+09
49 1.18679e+09
50 9.93714e+08
51 7.8865e+08
52 5.7097e+08
53 3.40197e+08
54 9.59557e+07
55 -1.62689e+08
56 -4.3719e+08
57 -7.29028e+08
58 -1.04056e+09
59 -1.37552e+09
60 -1.73762e+09
61 -2.13214e+09
62 -2.58466e+09
63 -3.19283e+09
64 -3.02672e+09
65 -2.49866e+09

# vy values
0 2.09924e+08
1 -4.19847e+08
2 -9.12691e+08
3 -9.9616e+08
4 -6.79293e+08
5 1.2248e+07
6 1.05242e+09
7 2.4176e+09
8 4.08526e+09
9 6.03119e+09
10 8.22598e+09
11 1.06322e+10
12 1.32074e+10
13 1.59181e+10
14 1.87637e+10
15 2.17582e+10
16 2.48767e+10
17 2.80624e+10
18 3.12454e+10
19 3.4357e+10
20 3.73352e+10
21 4.01292e+10
22 4.27033e+10
23 4.50406e+10
24 4.71272e+10
25 4.89225e+10
26 5.03267e+10
27 5.11931e+10
28 5.1377e+10
29 5.07538e+10
30 4.92515e+10
31 4.68694e+10
32 4.36683e+10
33 3.97614e+10
34 3.52982e+10
35 3.04433e+10
36 2.53575e+10
37 2.01843e+10
38 1.5042e+10
39 1.00177e+10
40 5.15895e+09
41 4.70025e+08
42 -4.06419e+09
43 -8.41562e+09
44 -1.25338e+10
45 -1.63848e+10
46 -1.99438e+10
47 -2.31899e+10
48 -2.61036e+10
49 -2.86644e+10
50 -3.08507e+10
51 -3.26393e+10
52 -3.40053e+10
53 -3.49231e+10
54 -3.53661e+10
55 -3.5307e+10
56 -3.47154e+10
57 -3.35582e+10
58 -3.17993e+10
59 -2.9396e+10
60 -2.62972e+10
61 -2.24455e+10
62 -1.77686e+10
63 -1.21069e+10
64 -4.99732e+09
65 2.49866e+09
