
# vx values
0 7.51036e+08
1 2.65874e+09
2 5.13348e+09
3 5.87035e+09
4 6.01166e+09
5 5.85069e+09
6 5.53531e+09
7 5.15047e+09
8 4.74548e+09
9 4.34734e+09
10 3.96914e+09
11 3.61575e+09
12 3.28751e+09
13 2.98256e+09
14 2.69812e+09
15 2.43123e+09
16 2.17902e+09
17 1.93888e+09
18 1.70842e+09
19 1.48545e+09
20 1.26795e+09
21 1.054e+09
22 8.41814e+08
23 6.2973e+08
24 4.16214e+08
25 1.99902e+08
26 -1.94131e+07
27 -2.39408e+08
28 -4.57018e+08
29 -6.70957e+08
30 -8.81658e+08
31 -1.09064e+09
32 -1.30012e+09
33 -1.51282e+09
34 -1.73193e+09
35 -1.96114e+09
36 -2.20488e+09
37 -2.46868e+09
38 -2.75962e+09
39 -3.08673e+09
40 -3.46119e+09
41 -3.89556e+09
42 -4.40136e+09
43 -4.98376e+09
44 -5.6326e+09
45 -6.3109e+09
46 -6.94569e+09
47 -7.43007e+09
48 -7.64179e+09
49 -7.46675e+09
50 -6.83392e+09
51 -5.78244e+09
52 -4.46585e+09
53 -3.0782e+09
54 -1.79067e+09
55 -6.96563e+08
56 2.09924e+08
57 9.95957e+08
58 1.7147e+09
59 2.37395e+09
60 2.9697e+09
61 3.50385e+09
62 3.976e+09
63 4.37733e+09
64 3.48774e+09
65 2.41691e+09

# vy values
0 7.51036e+08
1 -1.50207e+09
2 -1.0635e+10
3 -2.2036e+10
4 -3.41164e+10
5 -4.60826e+10
6 -5.75191e+10
7 -6.82239e+10
8 -7.8121e+10
9 -8.72058e+10
10 -9.55104e+10
11 -1.03082e+11
12 -1.09973e+11
13 -1.16232e+11
14 -1.21904e+11
15 -1.27025e+11
16 -1.31628e+11
17 -1.35741e+11
18 -1.39384e+11
19 -1.42575e+11
20 -1.45326e+11
21 -1.47646e+11
22 -1.49542e+11
23 -1.51014e+11
24 -1.52061e+11
25 -1.52679e+11
26 -1.5286e+11
27 -1.52601e+11
28 -1.51903e+11
29 -1.50773e+11
30 -1.49219e+11
31 -1.47246e+11
32 -1.44856e+11
33 -1.42046e+11
34 -1.38805e+11
35 -1.35118e+11
36 -1.3096e+11
37 -1.26299e+11
38 -1.21086e+11
39 -1.1526e+11
40 -1.08739e+11
41 -1.01415e+11
42 -9.31566e+10
43 -8.38098e+10
44 -7.32216e+10
45 -6.12794e+10
46 -4.7978e+10
47 -3.34967e+10
48 -1.82577e+10
49 -2.92951e+09
50 1.16093e+10
51 2.44062e+10
52 3.47391e+10
53 4.22695e+10
54 4.70519e+10
55 4.94322e+10
56 4.98381e+10
57 4.85925e+10
58 4.58543e+10
59 4.17337e+10
60 3.63585e+10
61 2.98549e+10
62 2.23431e+10
63 1.39509e+10
64 4.83382e+09
65 -2.41691e+09
