
# vx values
0 1.43164e+09
1 3.60426e+09
2 6.23331e+09
3 6.7481e+09
4 6.683e+09
5 6.35433e+09
6 5.91408e+09
7 5.44127e+09
8 4.97605e+09
9 4.53693e+09
10 4.13065e+09
11 3.75792e+09
12 3.41669e+09
13 3.10379e+09
14 2.8157e+09
15 2.54891e+09
16 2.29998e+09
17 2.06561e+09
18 1.84267e+09
19 1.6282e+09
20 1.41946e+09
21 1.21391e+09
22 1.00928e+09
23 8.03601e+08
24 5.9527e+08
25 3.83045e+08
26 1.66301e+08
27 -5.34175e+07
28 -2.72691e+08
29 -4.89166e+08
30 -7.02596e+08
31 -9.14199e+08
32 -1.12603e+09
33 -1.34062e+09
34 -1.56088e+09
35 -1.79024e+09
36 -2.03307e+09
37 -2.29545e+09
38 -2.58618e+09
39 -2.91777e+09
40 -3.30652e+09
41 -3.77054e+09
42 -4.32371e+09
43 -4.96466e+09
44 -5.66201e+09
45 -6.34214e+09
46 -6.89077e+09
47 -7.17807e+09
48 -7.10357e+09
49 -6.64044e+09
50 -5.85284e+09
51 -4.86921e+09
52 -3.82711e+09
53 -2.84217e+09
54 -1.98826e+09
55 -1.27394e+09
56 -6.63111e+08
57 -1.12746e+08
58 4.15018e+08
59 9.31054e+08
60 1.41339e+09
61 1.82992e+09
62 2.14299e+09
63 2.30933e+09
64 1.70971e+09
65 1.06921e+09

# vy values
0 1.43164e+09
1 -2.86329e+09
2 -1.4417e+10
3 -2.77965e+10
4 -4.14094e+10
5 -5.45285e+10
6 -6.68267e+10
7 -7.81849e+10
8 -8.85918e+10
9 -9.8089e+10
10 -1.0674e+11
11 -1.14612e+11
12 -1.21771e+11
13 -1.28278e+11
14 -1.34186e+11
15 -1.39541e+11
16 -1.44382e+11
17 -1.48741e+11
18 -1.52644e+11
19 -1.56112e+11
20 -1.59157e+11
21 -1.6179e+11
22 -1.64013e+11
23 -1.65827e+11
24 -1.67227e+11
25 -1.68208e+11
26 -1.68759e+11
27 -1.68873e+11
28 -1.68546e+11
29 -1.67782e+11
30 -1.66589e+11
31 -1.64972e+11
32 -1.62932e+11
33 -1.60468e+11
34 -1.5757e+11
35 -1.54224e+11
36 -1.50409e+11
37 -1.46092e+11
38 -1.41227e+11
39 -1.35747e+11
40 -1.29556e+11
41 -1.22521e+11
42 -1.14474e+11
43 -1.05226e+11
44 -9.46152e+10
45 -8.25782e+10
46 -6.92467e+10
47 -5.50152e+10
48 -4.05344e+10
49 -2.66009e+10
50 -1.39727e+10
51 -3.18951e+09
52 5.50419e+09
53 1.21189e+10
54 1.68729e+10
55 2.0072e+10
56 2.19687e+10
57 2.27244e+10
58 2.24196e+10
59 2.10643e+10
60 1.86954e+10
61 1.54108e+10
62 1.13757e+10
63 6.83886e+09
64 2.13843e+09
65 -1.06921e+09
