
# vx values
0 -3.59195e+08
1 1.11096e+09
2 3.28646e+09
3 4.3116e+09
4 4.74868e+09
5 4.86284e+09
6 4.78331e+09
7 4.58769e+09
8 4.32665e+09
9 4.03357e+09
10 3.7298e+09
11 3.42827e+09
12 3.13613e+09
13 2.85674e+09
14 2.59101e+09
15 2.33842e+09
16 2.09764e+09
17 1.86697e+09
18 1.64458e+09
19 1.42872e+09
20 1.21779e+09
21 1.01038e+09
22 8.05254e+08
23 6.01325e+08
24 3.97606e+08
25 1.93086e+08
26 -1.29761e+07
27 -2.19673e+08
28 -4.25006e+08
29 -6.27956e+08
30 -8.28724e+08
31 -1.0283e+09
32 -1.2282e+09
33 -1.4303e+09
34 -1.63677e+09
35 -1.84992e+09
36 -2.07222e+09
37 -2.30622e+09
38 -2.55452e+09
39 -2.81977e+09
40 -3.10446e+09
41 -3.41075e+09
42 -3.73978e+09
43 -4.09068e+09
44 -4.45875e+09
45 -4.83302e+09
46 -5.19329e+09
47 -5.5075e+09
48 -5.73005e+09
49 -5.79901e+09
50 -5.63855e+09
51 -5.20817e+09
52 -4.54128e+09
53 -3.70296e+09
54 -2.75864e+09
55 -1.77553e+09
56 -8.11175e+08
57 1.05008e+08
58 9.77533e+08
59 1.81233e+09
60 2.60375e+09
61 3.35609e+09
62 4.10058e+09
63 4.94073e+09
64 4.46721e+09
65 3.53006e+09

# vy values
0 -3.59195e+08
1 7.18391e+08
2 -4.44382e+09
3 -1.24274e+10
4 -2.16902e+10
5 -3.14222e+10
6 -4.11416e+10
7 -5.05554e+10
8 -5.94923e+10
9 -6.7862e+10
10 -7.56266e+10
11 -8.27812e+10
12 -8.93397e+10
13 -9.53257e+10
14 -1.00767e+11
15 -1.0569e+11
16 -1.1012e+11
17 -1.1408e+11
18 -1.17588e+11
19 -1.20659e+11
20 -1.23303e+11
21 -1.2553e+11
22 -1.27345e+11
23 -1.28751e+11
24 -1.2975e+11
25 -1.30341e+11
26 -1.30522e+11
27 -1.30289e+11
28 -1.29644e+11
29 -1.28589e+11
30 -1.27132e+11
31 -1.25274e+11
32 -1.23019e+11
33 -1.20362e+11
34 -1.17297e+11
35 -1.13815e+11
36 -1.09898e+11
37 -1.05526e+11
38 -1.00673e+11
39 -9.53076e+10
40 -8.93937e+10
41 -8.28898e+10
42 -7.57507e+10
43 -6.79307e+10
44 -5.9388e+10
45 -5.00957e+10
46 -4.0056e+10
47 -2.93225e+10
48 -1.8026e+10
49 -6.40232e+09
50 5.17008e+09
51 1.61519e+10
52 2.60028e+10
53 3.4317e+10
54 4.08146e+10
55 4.53516e+10
56 4.79167e+10
57 4.85963e+10
58 4.74967e+10
59 4.46861e+10
60 4.02474e+10
61 3.42711e+10
62 2.6823e+10
63 1.78688e+10
64 7.06011e+09
65 -3.53006e+09
