
# vx values
0 1.37418e+09
1 3.40076e+09
2 5.84613e+09
3 6.31992e+09
4 6.26426e+09
5 5.9682e+09
6 5.56956e+09
7 5.13975e+09
8 4.71502e+09
9 4.31204e+09
10 3.93688e+09
11 3.59024e+09
12 3.27047e+09
13 2.97497e+09
14 2.70088e+09
15 2.44529e+09
16 2.20533e+09
17 1.97816e+09
18 1.76104e+09
19 1.55132e+09
20 1.34645e+09
21 1.1441e+09
22 9.42106e+08
23 7.38609e+08
24 5.32076e+08
25 3.2134e+08
26 1.05985e+08
27 -1.12274e+08
28 -3.30306e+08
29 -5.46246e+08
30 -7.60125e+08
31 -9.73275e+08
32 -1.18783e+09
33 -1.40644e+09
34 -1.63221e+09
35 -1.86884e+09
36 -2.12113e+09
37 -2.39568e+09
38 -2.70203e+09
39 -3.05356e+09
40 -3.46774e+09
41 -3.96379e+09
42 -4.55557e+09
43 -5.23727e+09
44 -5.96283e+09
45 -6.62789e+09
46 -7.07351e+09
47 -7.13217e+09
48 -6.70925e+09
49 -5.85151e+09
50 -4.74235e+09
51 -3.59757e+09
52 -2.57718e+09
53 -1.76373e+09
54 -1.14474e+09
55 -6.51618e+08
56 -2.19929e+08
57 1.95274e+08
58 6.15811e+08
59 1.03104e+09
60 1.41193e+09
61 1.7278e+09
62 1.93826e+09
63 1.98103e+09
64 1.33743e+09
65 7.24054e+08

# vy values
0 1.37418e+09
1 -2.74837e+09
2 -1.3603e+10
3 -2.61329e+10
4 -3.88827e+10
5 -5.11899e+10
6 -6.27555e+10
7 -7.34682e+10
8 -8.33145e+10
9 -9.23283e+10
10 -1.00563e+11
11 -1.08076e+11
12 -1.14924e+11
13 -1.21158e+11
14 -1.26824e+11
15 -1.31961e+11
16 -1.36605e+11
17 -1.40782e+11
18 -1.44517e+11
19 -1.47827e+11
20 -1.50723e+11
21 -1.53212e+11
22 -1.55299e+11
23 -1.56981e+11
24 -1.58253e+11
25 -1.59109e+11
26 -1.59539e+11
27 -1.59533e+11
28 -1.5909e+11
29 -1.58212e+11
30 -1.56905e+11
31 -1.55171e+11
32 -1.53012e+11
33 -1.5042e+11
34 -1.47386e+11
35 -1.43891e+11
36 -1.3991e+11
37 -1.35407e+11
38 -1.30328e+11
39 -1.24599e+11
40 -1.18113e+11
41 -1.10728e+11
42 -1.02258e+11
43 -9.25054e+10
44 -8.13092e+10
45 -6.86541e+10
46 -5.47977e+10
47 -4.036e+10
48 -2.6269e+10
49 -1.3523e+10
50 -2.863e+09
51 5.44636e+09
52 1.15273e+10
53 1.57551e+10
54 1.85822e+10
55 2.0334e+10
56 2.11887e+10
57 2.12137e+10
58 2.04076e+10
59 1.87505e+10
60 1.62835e+10
61 1.31028e+10
62 9.37224e+09
63 5.34974e+09
64 1.44811e+09
65 -7.24054e+08
