
# vx values
0 -7.17972e+08
1 -1.56928e+08
2 8.76303e+08
3 1.62977e+09
4 2.08346e+09
5 2.35489e+09
6 2.50021e+09
7 2.55438e+09
8 2.54229e+09
9 2.48253e+09
10 2.38907e+09
11 2.2723e+09
12 2.13983e+09
13 1.99708e+09
14 1.84782e+09
15 1.69456e+09
16 1.53886e+09
17 1.38156e+09
18 1.22303e+09
19 1.06328e+09
20 9.02107e+08
21 7.39172e+08
22 5.74102e+08
23 4.06623e+08
24 2.36756e+08
25 6.53833e+07
26 -1.05037e+08
27 -2.71699e+08
28 -4.33123e+08
29 -5.88978e+08
30 -7.39578e+08
31 -8.85566e+08
32 -1.02774e+09
33 -1.16696e+09
34 -1.30404e+09
35 -1.43978e+09
36 -1.57489e+09
37 -1.70996e+09
38 -1.84538e+09
39 -1.98126e+09
40 -2.11732e+09
41 -2.25293e+09
42 -2.38688e+09
43 -2.51725e+09
44 -2.64105e+09
45 -2.75345e+09
46 -2.84815e+09
47 -2.91269e+09
48 -2.93064e+09
49 -2.88301e+09
50 -2.76232e+09
51 -2.57344e+09
52 -2.31739e+09
53 -1.99562e+09
54 -1.61135e+09
55 -1.16952e+09
56 -6.75268e+08
57 -1.31301e+08
58 4.56011e+08
59 1.0736e+09
60 1.71022e+09
61 2.36342e+09
62 3.05158e+09
63 3.85394e+09
64 3.6075e+09
65 2.91567e+09

# vy values
0 -7.17972e+08
1 1.43594e+09
2 6.27711e+08
3 -2.06927e+09
4 -5.89138e+09
5 -1.04031e+10
6 -1.53109e+10
7 -2.0404e+10
8 -2.55285e+10
9 -3.05731e+10
10 -3.54586e+10
11 -4.01294e+10
12 -4.45478e+10
13 -4.86887e+10
14 -5.25361e+10
15 -5.608e+10
16 -5.93144e+10
17 -6.22355e+10
18 -6.48406e+10
19 -6.71276e+10
20 -6.90937e+10
21 -7.0736e+10
22 -7.20504e+10
23 -7.30324e+10
24 -7.36769e+10
25 -7.39794e+10
26 -7.39385e+10
27 -7.35593e+10
28 -7.28517e+10
29 -7.18268e+10
30 -7.04957e+10
31 -6.88685e+10
32 -6.69535e+10
33 -6.47575e+10
34 -6.22857e+10
35 -5.95414e+10
36 -5.65265e+10
37 -5.32418e+10
38 -4.96867e+10
39 -4.58603e+10
40 -4.17616e+10
41 -3.7391e+10
42 -3.27499e+10
43 -2.78434e+10
44 -2.26809e+10
45 -1.72792e+10
46 -1.16671e+10
47 -5.88665e+09
48 -1.63731e+07
49 5.83592e+09
50 1.15157e+10
51 1.68852e+10
52 2.18094e+10
53 2.61548e+10
54 2.97919e+10
55 3.26002e+10
56 3.447e+10
57 3.53012e+10
58 3.49952e+10
59 3.34772e+10
60 3.07008e+10
61 2.66363e+10
62 2.12471e+10
63 1.443e+10
64 5.83134e+09
65 -2.91567e+09
