
# vx values
0 -1.62844e+08
1 -4.30028e+07
2 2.06331e+08
3 4.29677e+08
4 5.92736e+08
5 7.11326e+08
6 7.93426e+08
7 8.44743e+08
8 8.70044e+08
9 8.73476e+08
10 8.58629e+08
11 8.28565e+08
12 7.85877e+08
13 7.32749e+08
14 6.70997e+08
15 6.02121e+08
16 5.27368e+08
17 4.47771e+08
18 3.64185e+08
19 2.77325e+08
20 1.87781e+08
21 9.59888e+07
22 2.69582e+06
23 -9.07755e+07
24 -1.83144e+08
25 -2.73515e+08
26 -3.61301e+08
27 -4.46108e+08
28 -5.27665e+08
29 -6.05794e+08
30 -6.80389e+08
31 -7.51416e+08
32 -8.1894e+08
33 -8.83163e+08
34 -9.4458e+08
35 -1.00344e+09
36 -1.05836e+09
37 -1.10756e+09
38 -1.14903e+09
39 -1.18005e+09
40 -1.19958e+09
41 -1.20749e+09
42 -1.20344e+09
43 -1.18706e+09
44 -1.15773e+09
45 -1.11473e+09
46 -1.05736e+09
47 -9.84894e+08
48 -8.96712e+08
49 -7.92283e+08
50 -6.71219e+08
51 -5.33263e+08
52 -3.7818e+08
53 -2.05572e+08
54 -1.58929e+07
55 1.88356e+08
56 4.03983e+08
57 6.28753e+08
58 8.61645e+08
59 1.10287e+09
60 1.35398e+09
61 1.61883e+09
62 1.90777e+09
63 2.25324e+09
64 1.99749e+09
65 1.54865e+09

# vy values
0 -1.62844e+08
1 3.25687e+08
2 1.72011e+08
3 -4.99636e+08
4 -1.5467e+09
5 -2.87058e+09
6 -4.392e+09
7 -6.04429e+09
8 -7.77098e+09
9 -9.52446e+09
10 -1.12649e+10
11 -1.2959e+10
12 -1.45791e+10
13 -1.61025e+10
14 -1.75101e+10
15 -1.87865e+10
16 -1.99186e+10
17 -2.08959e+10
18 -2.17097e+10
19 -2.23527e+10
20 -2.2819e+10
21 -2.31038e+10
22 -2.3203e+10
23 -2.31146e+10
24 -2.28399e+10
25 -2.2382e+10
26 -2.17458e+10
27 -2.09368e+10
28 -1.99614e+10
29 -1.88262e+10
30 -1.75382e+10
31 -1.61046e+10
32 -1.45325e+10
33 -1.28288e+10
34 -1.09999e+10
35 -9.05052e+09
36 -6.9861e+09
37 -4.8171e+09
38 -2.55585e+09
39 -2.20985e+08
40 2.16435e+09
41 4.57733e+09
42 6.99429e+09
43 9.3911e+09
44 1.17425e+10
45 1.4022e+10
46 1.62015e+10
47 1.82514e+10
48 2.0141e+10
49 2.18383e+10
50 2.33102e+10
51 2.45232e+10
52 2.54432e+10
53 2.60359e+10
54 2.62655e+10
55 2.60994e+10
56 2.55121e+10
57 2.44835e+10
58 2.29971e+10
59 2.10369e+10
60 1.85856e+10
61 1.5621e+10
62 1.21103e+10
63 7.98994e+09
64 3.09729e+09
65 -1.54865e+09
