
# vx values
0 1.11739e+09
1 2.84575e+09
2 4.9569e+09
3 5.4141e+09
4 5.42069e+09
5 5.21783e+09
6 4.91944e+09
7 4.58504e+09
8 4.24557e+09
9 3.91589e+09
10 3.60198e+09
11 3.30532e+09
12 3.02541e+09
13 2.76099e+09
14 2.51054e+09
15 2.27246e+09
16 2.04503e+09
17 1.82647e+09
18 1.61488e+09
19 1.40833e+09
20 1.20486e+09
21 1.00257e+09
22 7.997e+08
23 5.94689e+08
24 3.86258e+08
25 1.73437e+08
26 -4.35778e+07
27 -2.62594e+08
28 -4.8105e+08
29 -6.97911e+08
30 -9.13654e+08
31 -1.1298e+09
32 -1.34863e+09
33 -1.57307e+09
34 -1.80676e+09
35 -2.05453e+09
36 -2.32313e+09
37 -2.62237e+09
38 -2.96606e+09
39 -3.37167e+09
40 -3.85651e+09
41 -4.42741e+09
42 -5.06214e+09
43 -5.68656e+09
44 -6.16394e+09
45 -6.32299e+09
46 -6.03611e+09
47 -5.31139e+09
48 -4.31559e+09
49 -3.28892e+09
50 -2.40208e+09
51 -1.71348e+09
52 -1.21151e+09
53 -8.39533e+08
54 -5.33437e+08
55 -2.48543e+08
56 3.92665e+07
57 3.41794e+08
58 6.51225e+08
59 9.45332e+08
60 1.20134e+09
61 1.39088e+09
62 1.47474e+09
63 1.3898e+09
64 8.07637e+08
65 3.20191e+08

# vy values
0 1.11739e+09
1 -2.23477e+09
2 -1.1383e+10
3 -2.20624e+10
4 -3.30394e+10
5 -4.37451e+10
6 -5.39107e+10
7 -6.34229e+10
8 -7.22508e+10
9 -8.04052e+10
10 -8.79144e+10
11 -9.48131e+10
12 -1.01136e+11
13 -1.06915e+11
14 -1.1218e+11
15 -1.16957e+11
16 -1.21269e+11
17 -1.25137e+11
18 -1.28575e+11
19 -1.31597e+11
20 -1.34209e+11
21 -1.36416e+11
22 -1.38219e+11
23 -1.39615e+11
24 -1.40598e+11
25 -1.4116e+11
26 -1.41291e+11
27 -1.40986e+11
28 -1.40241e+11
29 -1.39061e+11
30 -1.37449e+11
31 -1.35407e+11
32 -1.3293e+11
33 -1.30012e+11
34 -1.26638e+11
35 -1.22785e+11
36 -1.1842e+11
37 -1.13493e+11
38 -1.0793e+11
39 -1.01628e+11
40 -9.44437e+10
41 -8.62023e+10
42 -7.67341e+10
43 -6.59538e+10
44 -5.39878e+10
45 -4.1298e+10
46 -2.86959e+10
47 -1.71536e+10
48 -7.4503e+09
49 1.08767e+08
50 5.70538e+09
51 9.71708e+09
52 1.25593e+10
53 1.45631e+10
54 1.59174e+10
55 1.66969e+10
56 1.69116e+10
57 1.65398e+10
58 1.55444e+10
59 1.39349e+10
60 1.17631e+10
61 9.12951e+09
62 6.19957e+09
63 3.23055e+09
64 6.40382e+08
65 -3.20191e+08
