
# vx values
0 1.26619e+09
1 3.16222e+09
2 5.46007e+09
3 5.92459e+09
4 5.89485e+09
5 5.63862e+09
6 5.28311e+09
7 4.89445e+09
8 4.50648e+09
9 4.13504e+09
10 3.78612e+09
11 3.46075e+09
12 3.1578e+09
13 2.87528e+09
14 2.61095e+09
15 2.36252e+09
16 2.12765e+09
17 1.90398e+09
18 1.68914e+09
19 1.48081e+09
20 1.27671e+09
21 1.07469e+09
22 8.72748e+08
23 6.6916e+08
24 4.62487e+08
25 2.51638e+08
26 3.64013e+07
27 -1.81295e+08
28 -3.9851e+08
29 -6.1376e+08
30 -8.2732e+08
31 -1.04065e+09
32 -1.25598e+09
33 -1.4761e+09
34 -1.7043e+09
35 -1.94465e+09
36 -2.20252e+09
37 -2.48558e+09
38 -2.80491e+09
39 -3.17595e+09
40 -3.61774e+09
41 -4.1482e+09
42 -4.7725e+09
43 -5.46322e+09
44 -6.13779e+09
45 -6.65067e+09
46 -6.82527e+09
47 -6.53329e+09
48 -5.78113e+09
49 -4.73003e+09
50 -3.6175e+09
51 -2.61907e+09
52 -1.8194e+09
53 -1.22693e+09
54 -7.78765e+08
55 -4.04679e+08
56 -5.59284e+07
57 2.97781e+08
58 6.61406e+08
59 1.01508e+09
60 1.33276e+09
61 1.58441e+09
62 1.72968e+09
63 1.70371e+09
64 1.0781e+09
65 5.18665e+08

# vy values
0 1.26619e+09
1 -2.53237e+09
2 -1.26489e+10
3 -2.43726e+10
4 -3.63472e+10
5 -4.7952e+10
6 -5.89017e+10
7 -6.90845e+10
8 -7.84795e+10
9 -8.71104e+10
10 -9.50197e+10
11 -1.02255e+11
12 -1.08863e+11
13 -1.14886e+11
14 -1.20364e+11
15 -1.2533e+11
16 -1.29814e+11
17 -1.33841e+11
18 -1.3743e+11
19 -1.40597e+11
20 -1.43353e+11
21 -1.45704e+11
22 -1.47652e+11
23 -1.49195e+11
24 -1.50328e+11
25 -1.51045e+11
26 -1.51335e+11
27 -1.5119e+11
28 -1.5061e+11
29 -1.49596e+11
30 -1.48155e+11
31 -1.46287e+11
32 -1.43992e+11
33 -1.41263e+11
34 -1.38088e+11
35 -1.34446e+11
36 -1.30309e+11
37 -1.25636e+11
38 -1.20367e+11
39 -1.14416e+11
40 -1.07663e+11
41 -9.99453e+10
42 -9.10703e+10
43 -8.08553e+10
44 -6.92174e+10
45 -5.63042e+10
46 -4.26147e+10
47 -2.90031e+10
48 -1.64815e+10
49 -5.87859e+09
50 2.43857e+09
51 8.59143e+09
52 1.29148e+10
53 1.5869e+10
54 1.78226e+10
55 1.89841e+10
56 1.94413e+10
57 1.92078e+10
58 1.82501e+10
59 1.65622e+10
60 1.41898e+10
61 1.12311e+10
62 7.85219e+09
63 4.31239e+09
64 1.03733e+09
65 -5.18665e+08
