
# vx values
0 2.6512e+09
1 2.81531e+09
2 2.31052e+09
3 1.15285e+09
4 2.64068e+08
5 -4.80421e+08
6 -1.12924e+09
7 -1.69976e+09
8 -2.18955e+09
9 -2.59185e+09
10 -2.90405e+09
11 -3.1315e+09
12 -3.28132e+09
13 -3.35487e+09
14 -3.3514e+09
15 -3.26985e+09
16 -3.11015e+09
17 -2.87388e+09
18 -2.56354e+09
19 -2.18189e+09
20 -1.7323e+09
21 -1.21943e+09
22 -6.4982e+08
23 -3.22074e+07
24 6.15805e+08
25 1.26483e+09
26 1.88387e+09
27 2.44778e+09
28 2.93806e+09
29 3.34244e+09
30 3.65448e+09
31 3.87357e+09
32 4.00616e+09
33 4.06783e+09
34 4.08239e+09
35 4.07139e+09
36 4.026e+09
37 3.92545e+09
38 3.77098e+09
39 3.57302e+09
40 3.34192e+09
41 3.08619e+09
42 2.81201e+09
43 2.52389e+09
44 2.22509e+09
45 1.91796e+09
46 1.60425e+09
47 1.28517e+09
48 9.61434e+08
49 6.33139e+08
50 2.99701e+08
51 -4.05223e+07
52 -3.90657e+08
53 -7.53604e+08
54 -1.13005e+09
55 -1.51953e+09
56 -1.92204e+09
57 -2.33771e+09
58 -2.7658e+09
59 -3.2067e+09
60 -3.66587e+09
61 -4.15558e+09
62 -4.69888e+09
63 -5.36243e+09
64 -4.63765e+09
65 -3.5382e+09

# vy values
0 2.6512e+09
1 -5.3024e+09
2 -1.12612e+10
3 -1.45445e+10
4 -1.58726e+10
5 -1.56008e+10
6 -1.39509e+10
7 -1.10838e+10
8 -7.15189e+09
9 -2.32561e+09
10 3.21551e+09
11 9.29059e+09
12 1.57415e+10
13 2.24159e+10
14 2.9161e+10
15 3.58215e+10
16 4.22404e+10
17 4.82621e+10
18 5.37359e+10
19 5.85163e+10
20 6.24635e+10
21 6.54454e+10
22 6.73412e+10
23 6.80447e+10
24 6.747e+10
25 6.55815e+10
26 6.24107e+10
27 5.8046e+10
28 5.26195e+10
29 4.62938e+10
30 3.92498e+10
31 3.16759e+10
32 2.37555e+10
33 1.56513e+10
34 7.4842e+09
35 -6.78298e+08
36 -8.80134e+09
37 -1.67823e+10
38 -2.45032e+10
39 -3.18662e+10
40 -3.87952e+10
41 -4.52339e+10
42 -5.114e+10
43 -5.64819e+10
44 -6.12356e+10
45 -6.53823e+10
46 -6.89074e+10
47 -7.17993e+10
48 -7.40481e+10
49 -7.5645e+10
50 -7.65807e+10
51 -7.68438e+10
52 -7.64186e+10
53 -7.52812e+10
54 -7.34041e+10
55 -7.0761e+10
56 -6.7326e+10
57 -6.30728e+10
58 -5.79752e+10
59 -5.20096e+10
60 -4.51484e+10
61 -3.73461e+10
62 -2.85261e+10
63 -1.85506e+10
64 -7.07639e+09
65 3.5382e+09
